year,temperature_anomaly,forest_loss_rate,renewable_energy_share,co2
2000,0.39,0.0,7.426,25511.482
2001,0.53,0.10380011773170406,7.183,25692.994
2002,0.63,0.10390797433139268,7.186,26265.332
2003,0.61,0.10401605530744205,6.975,27652.691
2004,0.53,0.10412436136074356,7.153,28610.023
2005,0.68,0.1042328931951108,7.192,29598.951
2006,0.64,0.10434165151729483,7.339,30594.152
2007,0.66,0.10445063703699957,7.383,31499.256
2008,0.54,0.10455985046688608,7.855,32049.66
2009,0.65,0.10466929252264359,8.161,31513.014
2010,0.72,0.10477896392289425,8.37,33317.672
2011,0.61,0.10488886538931966,8.549,34479.988
2012,0.64,0.10499899764662135,8.963,34954.734
2013,0.67,0.10510936142254779,9.367,35275.82
2014,0.75,0.10521995744791038,9.732,35465.695
2015,0.89,0.10533078645658837,10.0,35403.527
2016,1.01,0.10544184918560114,10.431,35392.832
2017,0.91,0.10555314637501254,10.793,35974.609
2018,0.85,0.10566467876805925,11.202,36734.004
2019,0.98,0.10577644711111149,11.651,37086.566
2020,1.01,0.1058884521537006,12.781,35158.23
